0.0410428159,
0.00431686454,
0.993191957,
0.934200704,
0.052476991,
0.0105394442,
0.899946809,
0.85153538,
0.000178678369,
0.969720125,
0.0422784239,
0.0113814045,
0.025973089,
0.946473,
0.840643287,
0.0137640908,
0.174492195,
0.00502618356,
0.0438727327,
0.987935603,
0.0104240533,
0.99994868,
0.00477146,
0.00399739901,
0.0824864134,
0.0573687367,
0.0561541282,
0.0181124415,
0.0188135728,
0.0106741423,
0.964208543,
0.00795132481,
0.999915,
0.998717606,
0.405022532,
0.746023476,
0.0622620396,
0.00754666654,
0.000883069471,
0.950214326,
0.0012247425,
0.58047694,
0.943017066,
0.00252763927,
0.947968721,
0.904920518,
0.0180289056,
0.924898267,
0.0258524232,
0.470562458,
0.798686385,
0.149775505,
0.090497762,
0.992048621,
0.999984324,
0.594217539,
0.0333296321,
0.996126533,
0.0192390457,
0.878920794,
0.997615516,
0.794609249,
0.453853548,
0.207421735,
