0,0.781404421
1,0.686736021
2,0.863459038
3,0.850325098
4,0.682184655
5,0.867490247
6,0.831469441
7,0.857477243
8,0.753706112
9,0.78686606
10,0.763328999
11,0.776853056
12,0.813654096
13,0.850845254
14,0.748894668
15,0.816254876
16,0.67763329
17,0.83953186
18,0.718855657
19,0.825617685
20,0.806501951
21,0.837061118
22,0.848894668
23,0.862548765
24,0.744213264
25,0.867750325
26,0.796879064
27,0.700650195
28,0.840702211
29,0.861378414
30,0.801040312
31,0.871911573
32,0.850325098
33,0.85396619
34,0.852925878
35,0.859687906
36,0.76189857
37,0.804031209
38,0.836150845
39,0.843693108
40,0.852795839
41,0.863589077
42,0.8236671
43,0.878673602
44,0.794538362
45,0.774252276
46,0.805591678
47,0.845773732
48,0.802990897
49,0.85526658
